epoch,loss
1,1.1173930944398391
2,1.020334400409876
3,0.9692600036776343
4,0.9612943072651707
5,0.9323655200559039
6,0.9281735655873321
7,0.8884402416473212
8,0.8670927383178888
9,0.8202687363291896
10,0.8023391463035761
11,0.7854458897612816
12,0.7688815080842306
13,0.6734859603782033
14,0.6752845561781595
15,0.6386564602685529
16,0.5766581130582232
17,0.5963206741698953
18,0.5925374238990074
19,0.512055712383847
20,0.5225711728251258
21,0.507620828789334
22,0.4434136207713637
23,0.45522340023240376
24,0.4120477330546046
25,0.45168103797491205
26,0.39013161094382753
27,0.46248034647730896
28,0.4253992180145064
29,0.3264011896626894
30,0.41099127191443774
31,0.3701254236836766
32,0.363648236837498
33,0.37473518730596056
34,0.3207566644563231
35,0.3308517251943433
36,0.3010058619601782
37,0.3214029065051744
38,0.278618847561437
39,0.27906995318656747
40,0.2813182911554048
41,0.30190793806037236
42,0.36339323777098986
43,0.279409441490506
44,0.25502325178578844
45,0.2257104195481123
46,0.28774562114199925
47,0.26910051599491475
48,0.2949278068750404
49,0.2849649268873902
50,0.2650605594349462
51,0.2606428317552389
52,0.2206296880058078
53,0.27829962760903115
54,0.251522590601167
55,0.21948951066926467
56,0.2369368280782256
57,0.24510483478390893
58,0.2681041812134344
59,0.23232343203799669
60,0.24513575261415438
61,0.25802789030726564
62,0.25590252529743107
63,0.21421319202974784
64,0.1953902066966822
65,0.22495560902495718
66,0.27876404456274456
67,0.20397093554222306
68,0.21839579437361206
69,0.22646145938440812
70,0.16975781529448752
71,0.17526070479043696
72,0.20228263614482658
73,0.19167151865224505
74,0.2174454406770163
75,0.24211083387219628
76,0.24057416444601015
77,0.23129370548697406
78,0.26611135943337927
79,0.2525088295860346
80,0.23411039470933204
81,0.1834840873299643
82,0.19370474120558695
83,0.2191724532911944
84,0.21933560073375702
85,0.20647678359649901
86,0.20959011811849682
87,0.176803910801577
88,0.18487781961989957
89,0.19576088858898297
90,0.2445723750563555
91,0.22178691357027652
92,0.18101871879987938
93,0.24300057700900143
94,0.24316369369626045
95,0.23697140639604525
96,0.17442493504563042
97,0.2060854336203531
98,0.19328453703675158
99,0.20447379090758258
100,0.2593302380206973
101,0.23252921430177467
102,0.2143186302205851
103,0.20237071959431782
104,0.2047509019111478
105,0.1870246491459913
106,0.21362931134049282
107,0.19056737691510556
108,0.19348657165848931
109,0.19535256939571957
110,0.18320970081312712
